,Actual,Prediticion
3834,349950.0,[584709.0625]
1348,450000.0,[731443.5625]
20366,635000.0,
16617,355500.0,
20925,246950.0,
7891,406550.0,
939,350000.0,[322510.1875]
10502,226500.0,
2948,265000.0,[399826.6875]
5079,656000.0,[889532.125]
10124,580000.0,
5624,885000.0,[808070.0]
7567,270000.0,
19375,509000.0,
4681,650000.0,[430930.1875]
8745,272000.0,
19682,720000.0,
19606,335000.0,
17375,492500.0,
6417,722500.0,[484948.625]
16730,209950.0,
20360,255000.0,
6735,647500.0,
19944,650000.0,
21187,308000.0,
1663,720500.0,[424799.34375]
21225,635000.0,
20544,455000.0,
18222,529999.0,
8858,200000.0,
14186,299000.0,
4279,370000.0,[445184.53125]
15344,190000.0,
6907,655000.0,
18406,265000.0,
18154,725000.0,
17493,1050000.0,
12802,268000.0,
478,315000.0,[559536.0]
10656,304500.0,
472,1199000.0,[627707.3125]
14444,593000.0,
1843,762500.0,[419922.5]
7,291850.0,[253468.4375]
10540,245000.0,
14607,1000000.0,
5786,1010000.0,[257796.984375]
9939,893880.0,
14568,412000.0,
7363,269000.0,
13533,334000.0,
5408,294700.0,[1036164.9375]
11215,1234580.0,
13667,575000.0,
19277,365000.0,
5095,420000.0,[784655.5]
13602,349950.0,
21432,899000.0,
17975,430000.0,
17280,206325.0,
5712,472000.0,[363610.1875]
9934,475000.0,
19672,460000.0,
19011,550000.0,
7170,280017.0,
17448,235000.0,
10509,495000.0,
19603,282000.0,
2682,687000.0,[626209.875]
16011,392500.0,
2935,315000.0,[432385.625]
14412,974350.0,
16712,495000.0,
9039,535000.0,
9449,1698000.0,
7856,850000.0,
13508,869000.0,
6876,435000.0,
15030,227000.0,
6588,425000.0,
19279,280000.0,
11570,510000.0,
8851,750000.0,
16928,734950.0,
593,296000.0,[524342.6875]
2788,545000.0,[1093761.0]
5316,321027.0,[764143.0625]
13244,602000.0,
20704,530000.0,
20434,1138990.0,
11945,600000.0,
16132,370000.0,
2954,590000.0,[1650016.25]
18688,625000.0,
4352,259950.0,[521108.5625]
8838,1406890.0,
13385,740000.0,
3313,428000.0,[281639.8125]
20568,490000.0,
16141,705000.0,
15407,273000.0,
16223,277554.0,
14072,375000.0,
4329,227000.0,[554310.1875]
10019,291600.0,
11109,200000.0,
16371,230000.0,
18820,474950.0,
3025,367000.0,[1149181.875]
14496,402000.0,
148,258000.0,[548032.0]
21497,370000.0,
13749,272000.0,
18944,345000.0,
13158,315275.0,
20070,524000.0,
15151,872500.0,
947,1321500.0,[350710.90625]
4527,274000.0,[207155.71875]
1879,835000.0,[365180.59375]
8953,684000.0,
6139,425000.0,[181009.25]
19537,590000.0,
18731,1115000.0,
15734,812000.0,
6626,359000.0,
18969,665000.0,
12511,356000.0,
19523,240000.0,
19044,290000.0,
4309,535000.0,[250428.25]
17394,145000.0,
9432,869000.0,
276,450000.0,[576705.5]
20794,674600.0,
3512,749950.0,[542372.9375]
10696,335000.0,
9734,410000.0,
17153,405000.0,
4195,470000.0,[437266.5625]
6192,346000.0,[483003.5]
1914,411753.0,[407851.15625]
10828,653750.0,
2128,235000.0,[359218.3125]
392,330000.0,[486494.6875]
5757,365000.0,[699304.9375]
20149,385000.0,
4149,4000000.0,[222888.65625]
7201,467500.0,
13317,580000.0,
11988,329000.0,
15521,727160.0,
13803,640000.0,
16784,350000.0,
13748,491300.0,
20930,490000.0,
18380,200000.0,
446,1030000.0,[403892.65625]
